MH53
1.00000000 0.00000000
0.99980003 0.00001212
0.99919999 0.00005443
0.99822003 0.00012345
0.99685997 0.00021950
0.99510992 0.00034436
0.99298996 0.00049888
0.99049985 0.00068686
0.98763990 0.00091364
0.98441976 0.00118498
0.98083973 0.00150813
0.97692961 0.00188739
0.97267950 0.00232986
0.96808952 0.00284052
0.96319938 0.00341794
0.95800924 0.00406312
0.95250911 0.00477701
0.94671905 0.00555547
0.94065887 0.00639329
0.93433875 0.00728594
0.92774844 0.00823174
0.92091835 0.00922335
0.91385812 0.01025635
0.90658796 0.01132490
0.89908773 0.01242906
0.89137745 0.01356259
0.88349730 0.01471537
0.87542707 0.01588529
0.86717689 0.01706515
0.85875660 0.01824723
0.85017639 0.01942363
0.84143627 0.02058811
0.83250600 0.02173902
0.82340574 0.02286913
0.81413555 0.02397544
0.80470538 0.02505554
0.79506522 0.02611530
0.78525501 0.02715170
0.77527481 0.02816695
0.76514465 0.02916152
0.75482452 0.03014189
0.74434429 0.03110744
0.73374408 0.03205612
0.72300398 0.03299046
0.71211380 0.03391149
0.70110357 0.03481615
0.68998343 0.03570290
0.67876327 0.03657023
0.66742307 0.03741947
0.65597296 0.03824975
0.64445287 0.03905813
0.63286275 0.03984451
0.62117255 0.04061043
0.60940248 0.04135370
0.59760231 0.04207002
0.58576220 0.04275911
0.57384205 0.04342269
0.56189191 0.04405756
0.54993176 0.04466194
0.53795171 0.04523566
0.52593160 0.04577916
0.51390153 0.04629054
0.50189143 0.04676782
0.48990133 0.04721026
0.47789127 0.04761858
0.46590123 0.04799087
0.45397118 0.04832553
0.44207108 0.04862306
0.43019107 0.04888349
0.41836101 0.04910623
0.40661094 0.04929051
0.39493096 0.04943607
0.38329092 0.04954265
0.37173092 0.04960933
0.36028093 0.04963547
0.34892094 0.04962102
0.33763093 0.04956605
0.32644093 0.04947080
0.31538096 0.04933533
0.30445096 0.04915939
0.29361102 0.04894226
0.28290111 0.04868477
0.27234119 0.04838699
0.26193118 0.04804816
0.25163123 0.04766647
0.24149136 0.04724376
0.23152143 0.04678060
0.22172153 0.04627709
0.21206164 0.04573195
0.20256174 0.04514648
0.19327186 0.04452399
0.18416196 0.04386269
0.17521210 0.04316124
0.16644220 0.04242111
0.15789238 0.04164532
0.14955248 0.04083320
0.14137264 0.03998017
0.13339280 0.03909060
0.12565300 0.03816951
0.11813315 0.03721534
0.11078338 0.03622218
0.10365357 0.03519681
0.09678374 0.03414582
0.09012391 0.03306282
0.08366410 0.03194698
0.07742438 0.03080209
0.07145457 0.02963848
0.06571475 0.02845022
0.06017504 0.02723227
0.05486523 0.02599157
0.04983545 0.02474098
0.04503568 0.02347015
0.04044594 0.02217508
0.03609617 0.02086541
0.03201637 0.01955239
0.02818662 0.01823278
0.02456693 0.01689511
0.02118716 0.01555221
0.01808741 0.01422389
0.01522766 0.01289759
0.01258788 0.01156638
0.01018811 0.01024234
0.00807834 0.00895991
0.00620855 0.00769718
0.00454877 0.00643502
0.00312900 0.00519442
0.00200922 0.00404056
0.00116947 0.00298554
0.00054959 0.00197557
0.00012982 0.00092151
0.00000000 0.00000000
0.00024023 -0.00115495
0.00091038 -0.00219326
0.00203056 -0.00324141
0.00357078 -0.00430600
0.00543094 -0.00536239
0.00760118 -0.00643209
0.01011138 -0.00753501
0.01297160 -0.00867196
0.01612181 -0.00981634
0.01954200 -0.01095988
0.02328217 -0.01211707
0.02733243 -0.01328220
0.03165264 -0.01444199
0.03623285 -0.01559268
0.04111304 -0.01674339
0.04629325 -0.01789321
0.05171349 -0.01902845
0.05738363 -0.02015073
0.06333385 -0.02126501
0.06956408 -0.02237040
0.07601428 -0.02345530
0.08269447 -0.02452091
0.08965467 -0.02557495
0.09685483 -0.02661141
0.10426503 -0.02762612
0.11189520 -0.02862018
0.11976536 -0.02959602
0.12787557 -0.03055334
0.13615574 -0.03148377
0.14464591 -0.03239152
0.15334609 -0.03327621
0.16226619 -0.03413851
0.17133641 -0.03497091
0.18058650 -0.03577524
0.19003670 -0.03655258
0.19966681 -0.03730096
0.20943697 -0.03801697
0.21934703 -0.03870025
0.22944720 -0.03935392
0.23969734 -0.03997517
0.25006741 -0.04056207
0.26055747 -0.04111423
0.27120760 -0.04163330
0.28198767 -0.04211723
0.29284775 -0.04256298
0.30381781 -0.04297126
0.31491789 -0.04334247
0.32611799 -0.04367564
0.33738807 -0.04396972
0.34873804 -0.04422469
0.36018813 -0.04444051
0.37171814 -0.04461653
0.38328817 -0.04475195
0.39491820 -0.04484669
0.40662822 -0.04490039
0.41837820 -0.04491261
0.43015820 -0.04488330
0.44196823 -0.04481256
0.45383820 -0.04470021
0.46572816 -0.04454657
0.47760814 -0.04435227
0.48950803 -0.04411707
0.50143796 -0.04384091
0.51335794 -0.04352476
0.52525789 -0.04316916
0.53714782 -0.04277431
0.54904777 -0.04234039
0.56092769 -0.04186942
0.57274759 -0.04136433
0.58455747 -0.04082430
0.59633732 -0.04025151
0.60806721 -0.03964776
0.61971718 -0.03901511
0.63131702 -0.03835269
0.64287686 -0.03766122
0.65436673 -0.03694364
0.66574669 -0.03620342
0.67703652 -0.03544025
0.68826634 -0.03465323
0.69939619 -0.03384625
0.71038604 -0.03302315
0.72126585 -0.03218251
0.73205572 -0.03132319
0.74271560 -0.03044822
0.75321537 -0.02955978
0.76357526 -0.02865578
0.77380514 -0.02773458
0.78387487 -0.02679799
0.79376471 -0.02584708
0.80348462 -0.02488032
0.81305432 -0.02389563
0.82243419 -0.02289751
0.83162403 -0.02188715
0.84063381 -0.02086537
